"Severity","Rule","File","Line","Detail","Recommendation"
"High","LargeMinWidth","src\Accyourate.App\ActionEngineWindow.cs","16","MinWidth impostata a 1040 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AiIntentCatalogManagerWindow.cs","27","MinWidth impostata a 1040 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AnalyticsDashboardWindow.cs","29","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\AppleStyleDashboardWindow.cs","34","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\ArchitectureWindow.cs","26","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\ArchitectureWindow.cs","58","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\Deliveries\DeliveryRegisterView.cs","97","MinWidth impostata a 1120 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\Deliveries\DeliveryRegisterView.cs","105","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\Deliveries\DeliveryRegisterView.cs","333","Griglia con 8 colonne fisse e almeno 1010 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","HorizontalAutoScroll","src\Accyourate.App\AssetManagement\LocationStocktakeView.cs","18","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\LocationStocktakeView.cs","19","MinWidth impostata a 980 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","RigidWideGrid","src\Accyourate.App\AssetManagement\LocationStocktakeView.cs","25","Griglia con 8 colonne fisse e almeno 1075 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\AssetManagement\MaintenanceOperationsView.cs","173","MinWidth impostata a 1190 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
